_id,title,url,pub_date,price,area
ObjectId(585b8bbd2514971a24fafb3b),【转延庆 顺义一般纳税人商贸公司十万元版】-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2445200121x.htm,11-30,12,"["" 北京"",""丰台""]"
ObjectId(585b8bbe2514972708f213de),【2图】学生用i5笔记本电脑-北京二手三星二手笔记本-赶集网,http://bj.ganji.com/ershoubijibendiannao/2560476740x.htm,12-16,2000,"["" 北京"",""顺义""]"
ObjectId(585b8bbe2514972b6c5cf36e),【15图】迎元旦大降价苹果Pro+Air笔记本原装正品苹果全系列-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2484254498x.htm,12-09,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bbe2514971b044baea8),【15图】迎元旦大降价IBM X240X230X220X201全系列-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2480719180x.htm,12-19,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bbe2514971a24fafb3c),【15图】双十二大降价W540W530W520W510全系列诚信经营-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2452325158x.htm,11-29,4288,"["" 北京"",""朝阳""]"
ObjectId(585b8bbf2514972708f213df),【2图】个人4G金士顿DDR3代1600台机双面内存条-北京二手内存-赶集网,http://bj.ganji.com/ershoubijibendiannao/2468015184x.htm,12-16,120,"["" 北京"",""朝阳"",""北苑""]"
ObjectId(585b8bbf2514971b044baea9),【15图】迎元旦大降价W540W530W520W510全系列诚信经营-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2563615286x.htm,12-19,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bc02514972b6c5cf36f),【15图】迎元旦大降价X1cX240X230X220X201X200-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2458669494x.htm,12-09,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bc02514971b044baeaa),【15图】迎元旦大降价原装正品15年老店诚信经营苹果PRO+AIR小白-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2480713240x.htm,12-19,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bc02514971a24fafb3d),"【3图】戴尔,型号pp21L-北京二手笔记本电脑-赶集网",http://bj.ganji.com/ershoubijibendiannao/2452676911x.htm,11-29,2000,"["" 北京"",""海淀"",""清河""]"
ObjectId(585b8bc02514972708f213e0),【15图】机械革命笔记本-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2477131906x.htm,12-16,5000,"["" 北京"",""海淀"",""四季青""]"
ObjectId(585b8bc12514971b044baeab),【15图】迎元旦大降价全系列IBMT440T430T420T410-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2480710525x.htm,12-19,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bc12514971a24fafb3e),【4图】北京无线电话办理 无线座机固话靓号大灵通 靓号安装办理-北京二手华为平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2470271147x.htm,11-29,450,"["" 北京"",""丰台"",""右安门""]"
ObjectId(585b8bc12514971b044baeac),【15图】迎元旦大降价X1cX240X230X220X201X200-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2480700352x.htm,12-19,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bc12514972708f213e1),【图】长期办驾驶證行驶證办房产證办结婚證办离婚證毕業证-见货付款-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2466156396x.htm,12-14,300,"["" 北京"",""东城"",""和平里""]"
ObjectId(585b8bc12514971a24fafb3f),【转通州延庆一般纳税人商贸公司十万元版】-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2470358021x.htm,11-29,66,"["" 北京"",""丰台""]"
